"Member","Name","Image","Staked (ROAR)","Voting power"
"terra12ju9wyjjlmhlvpvuzl793z0dedwk3h7uye5ms3","","","110000000","0.04961316753698791"
"terra1s3c8p4my6vd6wptpms305mscahdea7mukju4ac","","","109662331.675859","0.0494608693993739"
"terra1ur6629jtzrk7fr94vlg9dythm5nnukay7m00sv","","","108812859.966851","0.04907773319740167"
"terra1qghactqzymfyep4r2lvu3zfzs5eswz39vymlwe","","","108793468.405751","0.04906898704495023"
"terra1u5mrfn4kjk0kaa26p6a8vu8kdra8phucdxamdg","","","108037607.581821","0.04872807204774764"
"terra1dve8zlfxlwajnw4gxkd5540mr95wxjm3eeckep","","","105861354.87794","0.04774651941137972"
"terra1dzyq59pa06al3dph3vax096m2ctpg67nlyk9xx","","","103423631.414548","0.04664703593321506"
"terra1hch3fmt0kk2verlk26srsy67x8gr920j5cll3g","","","101965599.140581","0.0459894213924636"
"terra1aewzxqges8n8p5f0u0sve4w6gktlnkkjjkre43","","","101310884.808457","0.045694126375658735"
"terra18au39029aa4mey00fap4l74c936l8efjuqhf6u","","","100801566.216324","0.045464409024375124"
"terra1wxc4ufxg48h56kqhaaegzljjmup53rjxj70y5t","","","100000001","0.04510288003010872"
"terra1uavhv6xv2dteaf3f43msqcu3j3l80p63xz6geq","","","100000000.767252","0.04510287992513267"
"terra1n75apcsmzejuwu6qn2zath5maaw83d0s4gmx4j","","","100000000.216954","0.045102879676932425"
"terra14adge4r5tvuvqjuvd66kgupmee8l39wnna2lg3","","","100000000","0.04510287957907992"
"terra16cemgtx5cwuxzfprp7zg96pmkpkhzzyf8gav4r","","","100000000","0.04510287957907992"
"terra19q738dza6ajflhc4vuqvv0ffjp5hcwyu5f0v6z","","","100000000","0.04510287957907992"
"terra1ksk66lcvzwaanc47nvn3athj4yzcpay8z8ru04","","","100000000","0.04510287957907992"
"terra1r8w7rvsg6j2c22jdq0jp02cgyspa7r5hzc95zk","","","100000000","0.04510287957907992"
"terra1vjgada9t78eh4v8whp9p8cg4evq4erusx9w6w8","","","95000000","0.042847735600125926"
"terra1qqtgqsp4a6vpcpew7dayraf8fp64s3dndqwk3h","","","87000000","0.03923950523379953"
"terra14cxnscmgwjaaqnfnpmr0edha9qz0hx4f6xkgay","","","86742031.423489","0.03912315397738391"
"terra152ptnvk40zwh0vctnmg9fs02pk2p2cz5r008xj","","","82874234.425709","0.03737866615511193"
"terra10kzjkq4f3cd7f6hvjqu3etlpn2t437k5xexa0r","","/placeholders/1.svg","81882411.529425","0.03693132546856321"
"terra1s4h4czywhezecpzxxrj85sjfmdhq7lx9ldl3s6","","","76281562.67339","0.03440518135361947"
"terra142qcgrmqk3x8nh49de76w66lynmrapqjlxvpm8","","","66281041.3929","0.029894658283199805"
"terra1kfcu5q8vamz693rf4agsjfskk3k5y9f8nm94fk","","","62180479.528797","0.028045186803567754"
"terra1nuzsnr2jmthuwchjr2vzmj3hjnhz5ud7t4jprv","","","61778228.911443","0.027863760192016473"
"terra1f0p979gm6evwkhz8ahw0vxvgsjs3gtf4ff0hhn","","","60206782.051161","0.02715499240697425"
"terra1sy33tzrp9k93jkzu94xjk5ewhlwl075ash7fys","","","59974734.262369","0.027050332172229477"
"terra1pye0qsy43zmvrvxp8lt9rt3w30ydqm0t7rcrd5","","","58739107.033341","0.026493028711074656"
"terra1ecvakrgttkuqkeae4p900sg5655g2a64na6r9t","","","57900466.187123","0.026114777540103974"
"terra1n4wqxjv67882p7qwq6yvjqv787cudfh4kgrc9p","","","53508947.005449","0.024134075931901353"
"terra1ldcmx4s6z75fnmrp8zlz9qfskshyppkh67dcfj","","","52961724.423569","0.023887262789766484"
"terra1z0nvmv57cqax4s6lssft9yhfn8ksxcf7dm7mq8","","","52700078.028642","0.023769252731339556"
"terra1tdzwcnwv03age8x35secn6xn0wsh2e84njrpu8","","","51174557.10688","0.023081198867043573"
"terra1j5ul9gvnvle86z2vfu39kvawx7vz5d9gttu7mt","","","50682885.610771","0.02285944086422887"
"terra167d69atdud4pghdd2djt7r7dujghzynlxx8ct4","","","50611744.291269","0.02282735408056291"
"terra1hwsm9fm0j79lgfgd37z8fe6gsxl4d4mxtc5td8","","","50000000","0.02255143978953996"
"terra1fufgf8kq8pjqqplnmf9vt85pz579255l2kmgy5","","","46476490.275979","0.0209622354417576"
"terra1ga7x6aqwvpf8rux4l4h68ugm9ewtps2afqntqh","","","46134414","0.020807949190934188"
"terra1t7emhhm6pk0ksxgr52tgjjzpxlzdv8rm0cug3y","","","43928087.078302","0.01981283221631992"
"terra1u53z4uhcz08hkmmmqmld7r5yg4pgc8k2a24ge5","","","43635830.994769","0.019681016306901493"
"terra1gnuzu4cp7wh900rg0xgvkeq5rpaluw6srv6l0k","","","43449713.674864","0.01959707203622893"
"terra1ugv30trhlherg79vngsmuv0wq8xd07xy998qvr","","","41808111.616932","0.018856662236872164"
"terra1m7u9ac00f2ea76xasxlm8m4gktxrvpa72jwd30","","","40649412.990476","0.01833405579069726"
"terra1yeup0dncz3mta0zsu0g4vag4xzcsmwdvnenjkt","","","40003800","0.018042865741055972"
"terra17w93uxwzg55xc97w3lhc9fln2y3j8gje4qr3r7","","","36974890.052138","0.016676740134713004"
"terra1sulunpquhj6p2w89wqnvp9z534sppmn6ggme2j","","","36534461.501348","0.016478094175818303"
"terra1mgwdlvafnylsl23es3ca6p9dsm4nl54k2k9xck","","","35822189.974815","0.01615683920693005"
"terra1wfla9k8n74qrlfvrtshcudy6u3qkhc6sklz9x3","","","35000000","0.01578600785267797"
"terra1nxya54lzuszfqjanqrs4gxgd3ysune3tfg8vjt","","","34959667.44011","0.015767816706759624"
"terra1z75yypurfmnektxkl3v2y7e3xgnutfqc0ngur5","","","33134131.404276","0.014944447386844707"
"terra1247xf3nz6atlsmxdz43h37c83tcdnuknc80f48","","","32412210.873666","0.014618840439267025"
"terra1rr6z322wwf2083pq57haves8q3q9vzjqju3za5","","","31798938.388073","0.014342236888598384"
"terra1ey9z5wwr6nf8mh96ruhwy6sc5gmuntfuyfdqdx","","","31432907.410103","0.014177146377382445"
"terra1hzsem376yhguf406dq7qj0a203a6y2527zmkpd","","","30000000","0.013530863873723976"
"terra14rpmltqh5ymwfvc24k9dyfx02lzgnuu0c5m5cm","","","29515849.539858","0.01331249807470457"
"terra1p8rdxef56qk5j4hvxs5zjkvyjkm3vnyqqqnnm7","","","29313801.233937","0.013221368470593449"
"terra13uanxtr3llvujskwx9rhf26q2jpmj4vpc545rw","","/placeholders/4.svg","29303528.081976","0.013216734983235503"
"terra1ea9jjsrq0vsp9949kk5q25mjctn5yawaxdheky","","","29297695.938903","0.013214104518768408"
"terra1xsmxfgkhuq2u28sex2py6xk8sdcz7veu8dwllz","","","29000000","0.013079835077933177"
"terra1dqst5kxwruc4g4fflv9rejmrcm0ezkxc2zw4x5","","","27642383","0.01246751071727806"
"terra12sxrtp6rwmlyx622vmk8xe9vc9dm7hdjuyp6kg","","","27163119.96384","0.012251349287211773"
"terra10kmr23va9jn4zw8tkqfal7w6ng8wkgvwk3crpq","","","26607578.466077","0.01200078407446391"
"terra1uu7e9k45edcghz2m3tljzwpq92ef5rwmg0gc23","","","26228259.125432","0.011829700129032636"
"terra1ndszrke4zn9a4vxexttp4rvvps9h4p9yljxz6t","","","26225919.506817","0.011828644893666102"
"terra1zjsw5243luc83kgppu0ew40w6qu67r2gxrlpzk","","","25844839.094199","0.011656766654063545"
"terra1cqp54vf2ncajhkp6dr5kcn75e6rv9xpzht8uge","","/placeholders/3.svg","25700446.05225","0.011591641234232716"
"terra1yygu2wuj3t5cdyc5pyhzjngp0ana7eyykqdly7","","","25581083.204748","0.011537805152861728"
"terra15upglt0x3l4jaksduayunspkw5m2luhj09aam4","","","25384566.004803","0.011449170236818356"
"terra1na0f9fkyys8lhu9340qj3m43syhq4z70zar46t","","","25128097.803351","0.011333495692758828"
"terra16d6pzemu64ckee4l9t2ryrpjdgdrmxzd5jaajp","","","25000000","0.01127571989476998"
"terra1gg3rc59scj7y8rgd0sdqqfdagf7h3ffnxpprpp","","","24991744.86503","0.011271996591185371"
"terra1rdqan8fjdlx9j7y7uv7gfwn4hd7tukfwlymcxd","","","24613667.90099","0.011101472993378167"
"terra158vqm8qvvlffz4g39apyugnny6cany8gsjaf70","","","24529630.136804","0.011063569541796405"
"terra1wm2pq548f9cv8wzkgmz8r948w9e4a2lfk7vvyx","","","24275965.39147","0.010949159437173832"
"terra1y8ekqq4tsvkl69pjd3qe7as3j4rrrqja43ne3p","","","23900351.611847","0.01077974680646804"
"terra1q6wxdv6rc7p4jjhayg4smj7trxcmwfy44yqk3n","","","23773126.656075","0.010722364687871655"
"terra1jnq2c40vxqqsts3dq2v0pzzpd38p86lq02tsm6","","","23356684.283877","0.01053453718622293"
"terra15kkv0vhwvmlfd48y0pt9qr8q90d929naa2ptcc","","","22849816.712803","0.010305925316016014"
"terra1gt34vqgxpkeysrkmq7j3992hv83yyaf49pgw9d","","","22380080.297689","0.010094060666368062"
"terra10w4r9qgtslmk956nshl8f99srwkrpavhd6n6vq","","","22262907.860984","0.010041212523341132"
"terra16rhrvl9ajt9mty7cysu76humsdq2ze3j48500f","","","22250751.913394","0.010035729840937917"
"terra1sxvumj356uzmes9r382ytz3w8e42z4kqgxc095","","","22000000","0.009922633507397582"
"terra1hjdrzs6g4u8c23sz8rsxsshkuncpr28sy5g6rw","","","21937873.554374","0.009894612691440124"
"terra1ne8p3j7f8469mj5lnwqyva94lf3ckxtmwjcey7","","","21851067.783818","0.00985546078927856"
"terra17wzr5y843lwq2phfp5na3rurw2jvpfrh6v2pva","","","21467853.347023","0.009682620043321263"
"terra12saxy20x0x3n7efuxpfeq4jqp0vqpazyza0e5m","","","21313000","0.009612776724689303"
"terra1qyqrfwzy0chh4ld6xfdrggetxyhze2sv3mc6ph","","","21229423.847125","0.009575081473101266"
"terra1cxakwsmzgt58e8x8fdrv8s49z8pyu8kf30h2de","","","21089207.307858","0.009511839776245716"
"terra1fd7aw5j3sn5h8cy7duxzqxwg7k0xtvv3sg846z","","","20599396.111217","0.009290920822059876"
"terra1866z3phvwf090m272z7kxn3yf7mdu3hqqm9z9q","","","20225151.708568","0.00912212581980165"
"terra16vnmejq27c3s9ut4mnlrwfq3vlpjmsd3xs3w60","","","20026308.069592","0.009032441612763644"
"terra1nkzmg7dlkhdqyecr5jn63l4xyqjhccz5cm28cn","","","19838885.614146","0.00894790868837968"
"terra1ylsu030krfe6twn08ratevt0svx3s9knt06zlz","","","19700181.576388","0.008885349173258368"
"terra1jnhje42mwh7yzxcc459vl3vpnn9a05m67jz9yg","","","18000000","0.008118518324234386"
"terra1uwv059vl65l4k5l8y4j3fpm84kg8lqve5e63nd","","","17589797.512848","0.007933505190423828"
"terra188hq77mad9p4xdsfqhkulvp94cq5rh8pvx55xc","","","17220899.373574","0.00776712150689761"
"terra1a320w82d45sy5sn88khh5a57r6q5cnehyxxhjy","","","17200000","0.007757695287601746"
"terra126pzz4ed3r6v65jen9ex6u7ttdv7c0nytl7djf","","","16450000","0.007419423690758647"
"terra1cczlrgqpr39pkmykuwmfwxgs45v7v9ckpkyc6y","","","16115807.952674","0.007268693454090339"
"terra1y5mneh2gamuztzza42pdd89u47sdx9kqdy022l","","","15595257.199859","0.007033910074900196"
"terra1j8ghpaj8y0wl67pg732hu85mfvn90lemtekmfc","","","15491118.038331","0.006986940314281559"
"terra1mq7zc8xjc5mye7vcpqfjwcchs9zsf45pxtwyre","","","15194061.50989","0.006852959265977019"
"terra1mwrjk6lrxzugpf3z6knghz9knf8suryfea0hfs","","","15103120.23107","0.006811942130503159"
"terra1hars4fft85z23dhltn8lpzwdns9l9zdnj0fvr0","","","14222364.459239","0.006414695915348427"
"terra1qgjywmavwajy24te4ja9kx0lpzpvvwup4el57d","","","13927506.107884","0.006281706308207921"
"terra1srf8k6p443w4eref98fwvw7trdqwxlysuujuzn","","","13875706.219465","0.006258343066912202"
"terra1wq5h4cf5fqtt5yf9xr3r34v350czs4z0xwnlvu","","","13760000","0.006206156230081397"
"terra1dm3zr2q8v9e29sk5twg02pls4mlp74jjhv3vve","","","13523715.982845","0.006099585334359365"
"terra1l3gzx2hk3n8gruz59utxzl9yvts7jwsed25qpa","","","13052588.223125","0.005887093148229236"
"terra1pjklmvkkyvfuhqr8ja8g9t3uu7t6ftdgtz4g6v","","","13017366.537187","0.005871207153634898"
"terra1az2wlg82uwee62yf4rffe5zaqxtmxs6l9lpcn2","","/placeholders/1.svg","12425354.384422","0.005604192625279782"
"terra1kt5wxtdjewnwlg68scjpknxaz0jgvzskxs3lta","","","12396224.580485","0.005591054244888455"
"terra1caqnsrs6tm3rmvxm477t7apvxqlz02qx6nr5rl","","","12062505.778796","0.005440537455629916"
"terra18e0c3dnw0m34m4hm75k3766p4h85wl0355s3cc","","","12000000","0.005412345549489591"
"terra1vrhte87fr6688zcr4lpp06z3rjyn2032zvhjs0","","","11841789.964537","0.005340988267712694"
"terra1at236lyq0zn9qda8yefv9v3m75tu4a4exyzm4q","","","11805504.266635","0.005324622373083526"
"terra1c5sln6rzmqzrptf7f837e98eemje6dfge8dc89","","","11344490.874847","0.005116692058141953"
"terra1e3r0eezgjsfkk0pwlyhr4rlaz5n8yfp8qpnqgp","","","11189227.062984","0.005046663608047495"
"terra1hk06zwvj37yeyj4j0ucjmthtv2zzvrptf0v384","","","10877325.269805","0.004905986917864979"
"terra1tjfa9e5fhn8ehmls2ecrnj3a9c4hmw5h8szy33","","","10863761.750087","0.004899869379899885"
"terra1dpkplyx8y5759g4zr2crhtz9rauqnc4xt2j5d3","","","10836630.708326","0.004887632498805871"
"terra1cyq6n7l3y7lzplv6jnl38julzeyg3rv9cvvyra","","","10803134.755904","0.004872524859721111"
"terra127n2htgecsqeq93yv0f5tnsxq2c78k5x30erft","","","10523606.32954","0.004746449490188859"
"terra1mujx82t28as537835qm22a0s0zszmafm2l8y9r","","","10509472.234071","0.004740074606129883"
"terra1sg7agks2mvxp20ld29fvkjq74588twc2uqvt24","","","10500000","0.004735802355803392"
"terra10355nemgu8xydzhwsm2ace8h97z3ec30zdhwgc","","/placeholders/2.svg","10398239.192508","0.004689905301341576"
"terra1cj5pnl4kjm7qvfycmtnceqnge05ypvypmzm8n5","","","10000000","0.004510287957907992"
"terra1ed2qqlv6jjhjr3n0yfs6nvjstl2p06pu2s8zse","","","10000000","0.004510287957907992"
"terra1mu2aut0qekq4j05vv4v3gyfn7w99aweyk4ntvn","","","10000000","0.004510287957907992"
"terra1pakur5vvckkceh8fmep5nxkvwsngyz7kngrha4","","","10000000","0.004510287957907992"
"terra1ydu9s5aa86w2p22d9y6r2way2tga5rja69p4cr","","","10000000","0.004510287957907992"
"terra1ztpkl6s0gd6unvqkc7l27tcp65s466vjzmyvp4","","","10000000","0.004510287957907992"
"terra1xmktwcwcyt90h36ev0grjrflh0d5reuxmnay94","","","9865118.907576","0.004449452701217048"
"terra1zztegfq6cne8ytfnrp4dvmtv9ch66lekaw23ad","","","9364083.141102","0.00422347114281616"
"terra1jctdpqdfkgmffd030xjf2wu7l8vke2ygjmyjz3","","","9009079.874642","0.004063354447042906"
"terra17d4k29qat2vgy9vcnnel4ucztda5z2r32vuc5a","","","7672630.048458","0.003460577091304313"
"terra12826kkk0av98n8sxly079ht7aeh286s5f7h0q3","","","7585263.554321","0.003421172286661238"
"terra1av0cn439l964h5mau09q9qmpe0k6zqymd03l3j","","","7503138.774937","0.003384131646311088"
"terra1d789t3s07jev7vnthtas0rcrjrp0dyqn72kxdj","","","7374926.294861","0.003326304125817057"
"terra1s003pr5eqkfkveumvryk9dwtdxuyg4mc9zua6g","","","6909262.111974","0.003116276170166627"
"terra1kw4xe0sjlungq7pm7h7780gmm0wd46kzvd2w9s","","","6252819.513307","0.002820201655384067"
"terra1l7d3xx3jkrslxghma3mfymqr06eg4wlu3mhvqk","","","6237680.286595","0.00281337342819095"
"terra1x9gkhwk35der5wp00rfpakurwtexqg7w725s9m","","","6090711.246678","0.002747086159098656"
"terra17lapk5p993ugazmv2uuc2wdrn3qveqlh7hklpj","","","5714940.006698","0.002577602509237661"
"terra143kcg4pnlsrpmtjmkkz9kxymxwh6xew4q5gz96","","","5453394.544112","0.00245963797420295"
"terra1q9m3lg0xjndvn6hv8apa572adreexejdw7pdwl","","","5005700.965302","0.002257715278469002"
"terra1ujhc3qc0q2ej0mrjlgypdk46gsw2xr8glv3g9q","","","5000423.797245","0.002255335123715068"
